college,collegepop,collegemask
"University of Maryland, Baltimore County",13662,TRUE
"University of Maryland, College Park",40521,TRUE
Washington College,1484,TRUE
American International College,3283,TRUE
Amherst College,1836,TRUE
Anna Maria College,1445,TRUE
Assumption College,2481,TRUE
Babson College,3329,TRUE
Becker College,1892,TRUE
Bentley University,5543,TRUE
Boston College,14628,TRUE
Boston University,33355,TRUE
Brandeis University,5721,TRUE
Bridgewater State University,11019,TRUE
Clark University,3153,TRUE
College of Our Lady of the Elms,1580,TRUE
College of the Holy Cross,2855,TRUE
Curry College,2799,TRUE
Dean College,1301,TRUE
Eastern Nazarene College,848,TRUE
Emerson College,4459,TRUE
Emmanuel College,953,TRUE
Endicott College,2949,TRUE
Fitchburg State University,7075,TRUE
Framingham State University,5691,TRUE
Franklin W Olin College of Engineering,380,TRUE
Gordon College,1963,TRUE
Hampshire College,1268,TRUE
Harvard University,31120,TRUE
Hebrew College,,TRUE
Lasell University,2055,TRUE
Lesley University,4732,TRUE
Massachusetts College of Art and Design,2064,TRUE
Massachusetts College of Liberal Arts,1345,TRUE
Massachusetts College of Pharmacy and Health Sciences,7074,TRUE
Massachusetts Institute of Technology,11466,TRUE
Massachusetts Maritime Academy,1780,TRUE
Merrimack College,7058,TRUE
Nichols College,1634,TRUE
Pine Manor College,452,TRUE
Regis College,2196,TRUE
Salem State University,8702,TRUE
Simmons University,6283,TRUE
Smith College,2918,TRUE
Springfield College,2200,TRUE
Stonehill College,2498,TRUE
Suffolk University,7201,TRUE
Tufts University,11449,TRUE
University of Massachusetts Amherst,30340,TRUE
University of Massachusetts Boston,16415,TRUE
University of Massachusetts Lowell,11258,TRUE
Wellesley College,2508,TRUE
Wentworth Institute of Technology,4457,TRUE
Western New England University,899,TRUE
Westfield State University,6237,TRUE
Wheaton College,2900,TRUE
Williams College,2134,TRUE
Worcester Polytechnic Institute,6642,TRUE
Worcester State University,6434,TRUE
Adrian College,1688,TRUE
Albion College,1568,TRUE
Alma College,1426,TRUE
Alpena Community College,1611,TRUE
Andrews University,3348,TRUE
Aquinas College,1716,TRUE
Bay Mills Community College,1716,TRUE
Calvin University,3840,TRUE
Central Michigan University,23335,TRUE
Concordia University Ann Arbor,1081,TRUE
Davenport University,6746,TRUE
Eastern Michigan University,20525,TRUE
Ferris State University,13798,TRUE
Finlandia University,456,TRUE
Grand Rapids Community College,14269,TRUE
Grand Valley State University,25049,TRUE
Henry Ford College,12786,TRUE
Hillsdale College,1556,TRUE
Hope College,3056,TRUE
Jackson College,4798,TRUE
Kalamazoo College,1436,TRUE
Kettering University,2311,TRUE
Lake Michigan College,3477,TRUE
Lake Superior State University,1960,TRUE
Lawrence Technological University,3069,TRUE
Michigan State University,50019,TRUE
Michigan Technological University,7292,TRUE
Northern Michigan University,7612,TRUE
Northwestern Michigan College,3954,TRUE
Northwood University,3353,TRUE
Oakland University,19333,TRUE
Olivet College,1224,TRUE
Saginaw Valley State University,8662,TRUE
Schoolcraft College,10558,TRUE
Siena Heights University,2464,TRUE
Spring Arbor University,3342,TRUE
University of Detroit Mercy,5113,TRUE
University of Michigan,6847,TRUE
University of Michigan-Dearborn,9330,TRUE
University of Michigan-Flint,7836,TRUE
Wayne State University,27064,TRUE
Western Michigan University,22893,TRUE
Alexandria Technical & Community College,2614,TRUE
Augsburg University,3562,TRUE
Bemidji State University,5198,TRUE
Bethany Lutheran College,651,TRUE
Bethel University,3797,TRUE
Carleton College,2078,TRUE
Century College,8745,TRUE
College of Saint Benedict,1937,TRUE
Concordia College at Moorhead,2059,TRUE
"Concordia University, St. Paul",4972,TRUE
Crown College,1353,TRUE
Dakota County Technical College,2478,TRUE
Gustavus Adolphus College,2181,TRUE
Hamline University,3734,TRUE
Hennepin Technical College,5078,TRUE
Inver Hills Community College,4479,TRUE
Itasca Community College,1211,TRUE
Lake Superior College,5059,TRUE
Macalester College,2136,TRUE
Martin Luther College,981,TRUE
Metropolitan State University,8148,TRUE
Minneapolis Community and Technical College,6951,TRUE
Minnesota State University Moorhead,4675,TRUE
"Minnesota State University, Mankato",14712,TRUE
Minnesota West Community and Technical College,3162,TRUE
North Central University,10788,TRUE
Northland Community and Technical College,3416,TRUE
Ridgewater College,3366,TRUE
Riverland Community College,3263,TRUE
Rochester Community and Technical College,5115,TRUE
Saint John's University,3144,TRUE
Saint Mary's University of Minnesota,5754,TRUE
South Central College,2787,TRUE
Southwest Minnesota State University,2122,TRUE
St. Catherine University,4724,TRUE
St. Cloud State University,10914,TRUE
St. Cloud Technical and Community College,4218,TRUE
St. Olaf College,3035,TRUE
St. Paul College,6912,TRUE
The College of Saint Scholastica,4276,TRUE
University of Minnesota Crookston,2834,TRUE
University of Minnesota Duluth,6667,TRUE
University of Minnesota Morris,1627,TRUE
University of Minnesota Rochester,472,TRUE
University of Minnesota Twin Cities,51848,TRUE
"University of Northwestern, St. Paul",3521,TRUE
University of St. Thomas,9878,TRUE
Winona State University,7981,TRUE
Alcorn State University,3716,TRUE
Belhaven University,4458,TRUE
Delta State University,3785,TRUE
Jackson State University,8558,TRUE
Millsaps College,859,TRUE
Mississippi College,5036,TRUE
Mississippi Delta Community College,2373,TRUE
Mississippi State University,21883,TRUE
Mississippi University for Women,2789,TRUE
Mississippi Valley State University,2385,TRUE
Northeast Mississippi Community College,3492,TRUE
Rust College,860,FALSE
University of Mississippi,24250,TRUE
University of Mississippi Medical Center,,TRUE
University of Southern Mississippi,14479,TRUE
Central Methodist University,2259,TRUE
College of the Ozarks,1508,TRUE
Crowder College,4960,FALSE
Drury University,3512,TRUE
Evangel University,2112,TRUE
Fontbonne University,1375,TRUE
Graceland University at Independence,5466,TRUE
Harris-Stowe State University,1442,TRUE
Kansas City Art Institute,663,TRUE
Lincoln University of Missouri,2619,TRUE
Lindenwood University,10025,TRUE
Maryville University Saint Louis,7689,TRUE
Missouri Baptist University,5488,TRUE
Missouri Southern State University,6174,TRUE
Missouri State University,26182,TRUE
Missouri University of Science and Technology,7969,TRUE
Missouri Western State University,5533,TRUE
Northwest Missouri State University,5474,TRUE
Ozarks Technical Community College,12692,TRUE
Rockhurst University,3043,TRUE
Saint Louis University,14581,TRUE
Southeast Missouri State University,11486,TRUE
Southwest Baptist University,3592,TRUE
St. Louis College of Pharmacy,1309,TRUE
St. Louis Community College,18835,TRUE
State Fair Community College,4742,TRUE
Stephens College,862,TRUE
Truman State University,6272,TRUE
University of Central Missouri,29843,FALSE
University of Missouri,16375,TRUE
University of Missouri-Kansas City,16441,TRUE
Washington University in St. Louis,7540,TRUE
Webster University,12736,TRUE
Westminster College,1263,TRUE
William Jewell College,933,TRUE
